Id,Name,Uhuru,Raila,Others,Total,Registered
1,Mombasa,"99,508","238,943","3,575","342,026","580,223"
2,Kwale,"43,812","138,664","2,307","184,783","281,041"
3,Kilifi,"49,693","273,852","4,196","327,741","508,068"
4,Tana River,"40,317","45,641","1,490","87,448","118,327"
5,Lamu,"24,225","24,423",868,"49,516","69,776"
6,Taita Taveta,"31,158","79,832","1,542","112,532","155,716"
7,Garissa,"54,825","54,784","3,905","113,514","163,350"
8,Wajir,"61,199","52,840","5,482","119,521","162,902"
9,Mandera,"113,469","18,122","5,054","136,645","175,642"
10,Marsabit,"92,681","16,114","2,026","110,821","141,708"
11,Isiolo,"26,732","19,029","8,440","54,201","75,338"
12,Meru,"483,033","55,951","4,596","543,580","702,480"
13,Tharaka,"162,923","10,334","1,458","174,715","213,154"
14,Embu,"232,409","17,623","2,108","252,140","309,468"
15,Kitui,"64,726","287,198","7,434","359,358","474,512"
16,Machakos,"83,039","381,220","6,853","471,112","620,254"
17,Makueni,"27,424","301,155","3,903","332,482","423,310"
18,Nyandarua,"286,555","2,305",624,"289,484","335,634"
19,Nyeri,"388,362","4,719","1,428","394,509","456,949"
20,Kirinyaga,"297,086","3,117","1,058","301,261","349,836"
21,Murang'a,"498,051","9,133","1,624","508,808","587,126"
22,Kiambu,"913,607","69,157","2,653","985,417","1,180,920"
23,Turkana,"59,239","71,326","1,249","131,814","191,435"
24,West Pokot,"97,677","51,930","1,174","150,781","180,232"
25,Samburu,"31,786","31,661",541,"63,988","82,787"
26,Trans Nzoia,"110,338","134,462","2,840","247,640","339,622"
27,Uasin Gishu,"267,392","72,574","1,934","341,900","450,055"
28,Keiyo-Marakwet,"138,755","7,046",784,"146,585","180,664"
29,Nandi,"235,739","34,148","1,686","271,573","346,007"
30,Baringo,"161,634","27,725","1,085","190,444","232,258"
31,Laikipia,"177,747","20,872",927,"199,546","246,487"
32,Nakuru,"639,528","111,789","3,220","754,537","949,618"
33,Narok,"149,989","130,056","2,166","282,211","341,730"
34,Kajiado,"186,326","138,585","1,386","326,297","411,193"
35,Kericho,"281,773","19,562","2,135","303,470","375,668"
36,Bomet,"229,581","32,002","2,279","263,862","322,012"
37,Kakamega,"63,910","485,373","6,298","555,581","743,736"
38,Vihiga,"18,562","181,889","2,451","202,902","272,409"
39,Bungoma,"127,415","287,316","7,185","421,916","559,850"
40,Busia,"34,496","240,416","2,022","276,934","351,048"
41,Siaya,"2,533","376,647",840,"380,020","457,953"
42,Kisumu,"7,743","430,229","1,451","439,423","539,210"
43,Homa Bay,"1,952","400,218",666,"402,836","476,875"
44,Migori,"45,655","274,938","1,534","322,127","388,633"
45,Kisii,"175,415","224,855","5,602","405,872","546,580"
46,Nyamira,"106,894","95,470","2,912","205,276","278,853"
47,Nairobi,"793,065","834,032","8,319","1,635,416","2,250,853"
,,,,,,
,,,,,,
,,,,,,
