Code,County,Odinga,Ruto,Wajackoyah,Waihiga,Total,Registered
1,Mombasa,161015,113700,2104,482,277301,642362
2,Kwale,125541,51918,1137,413,179009,328316
3,Kilifi,204536,77331,2534,1221,285622,588842
4,Tana River,51390,41505,412,198,93505,141110
5,Lamu,26160,22876,848,186,50070,81468
6,Taita Taveta,81271,29148,826,249,111494,182126
7,Garissa,81376,28111,396,77,109960,201513
8,Wajir,83486,49062,626,217,133391,207767
9,Mandera,106279,28351,676,259,135565,217034
10,Marsabit,55675,58782,303,144,114904,166944
11,Isiolo,26449,32302,175,52,58978,89535
12,Meru,103679,398946,2798,1053,506476,772573
13,Tharaka,15062,145081,974,461,161578,231966
14,Embu,31469,188874,1339,554,222236,334302
15,Kitui,203750,77912,2412,1216,285290,532758
16,Machakos,258647,79386,2525,872,341430,687565
17,Makueni,229187,59331,1848,572,290938,479401
18,Nyandarua,49194,189047,905,835,239981,361165
19,Nyeri,52043,272507,1344,982,326876,481632
20,Kirinyaga,37978,220752,1361,644,260735,376001
21,Murang'a,67181,310895,1723,1379,381178,620929
22,Kiambu,210302,605761,4373,3798,824234,1275008
23,Turkana,56300,29333,227,139,85999,238528
24,West Pokot,63147,109940,298,160,173545,220026
25,Samburu,41737,28319,238,62,70356,100014
26,Trans Nzoia,131581,115750,875,412,248618,398981
27,Uasin Gishu,76032,272862,590,390,349874,506138
28,Keiyo-Marakwet,4902,160092,176,120,165290,213884
29,Nandi,24872,240820,404,256,266352,406288
30,Baringo,40316,143429,425,186,184356,281053
31,Laikipia,34276,105827,522,389,141014,263012
32,Nakuru,170169,357439,1756,1536,530900,1054856
33,Narok,106967,132366,303,181,239817,398784
34,Kajiado,157704,147974,1132,778,307588,463273
35,Kericho,14442,272975,362,180,287959,428067
36,Bomet,15132,333491,667,274,349564,875689
37,Kakamega,325302,130184,3224,1128,459838,844551
38,Vihiga,113623,66717,1448,503,182291,310043
39,Bungoma,144658,255337,2480,1511,403986,646598
40,Busia,226317,48827,1406,474,277024,416756
41,Siaya,371201,4307,735,209,376452,533595
42,Kisumu,419141,10049,734,247,430171,606754
43,Homa Bay,397499,3469,719,139,401826,551071
44,Migori,292451,64645,810,338,358244,469019
45,Kisii,262618,133838,1590,696,398742,637010
46,Nyamira,126284,76541,849,339,204013,323283
47,Nairobi,760506,560293,5846,4563,1331208,2415310
